skills,experience,salary,location,job_interest,sector,education_level,job_id
"Analytics, Copywriting, Social Media",4,65827,Ghardaia,Marketing,Business,Master's,10000
"Negotiation, Sales Forecasting, Customer Service, Lead Generation",4,112241,Chlef,Sales,Business,Bachelor's,10001
"Copywriting, Analytics, Social Media, Google Ads",4,66627,Sidi Bel Abbès,Marketing,Business,Doctorate,10002
"Git, JavaScript, SQL, C++",1,54462,Tlemcen,Software Engineering,Information Technology,High School,10003
"Networking, Security, Scripting, Linux, Windows Server",6,121115,Relizane,System Administration,Information Technology,Ingénieur,10004
"Regulatory Compliance, Litigation, Legal Research",3,97794,Batna,Legal,Legal,No Formal Education,10005
"Blueprint Reading, Safety Procedures, Masonry, Plumbing, Site Management, Carpentry",8,131492,Chlef,Construction,Construction,Doctorate,10006
"Cold Calling, Customer Service, Negotiation, Sales Forecasting, CRM, Lead Generation",14,41818,Oran,Sales,Business,Ingénieur,10007
"Social Media, Content Creation, Copywriting",5,108422,Skikda,Marketing,Business,High School,10008
"Social Media, SEO, Analytics, Google Ads",6,81777,Blida,Marketing,Business,Master's,10009
"3D Modeling, UI/UX, Photoshop",2,98636,Relizane,Art & Design,Creative,Bachelor's,10010
"Assessment, Curriculum Design, Teaching, E-Learning, Mentoring, Classroom Management",7,107518,Sidi Bel Abbès,Education,Education,Technical Diploma,10011
"Carpentry, Plumbing, Blueprint Reading, Masonry, Site Management",4,88643,M'Sila,Construction,Construction,Bachelor's,10012
"MATLAB, SolidWorks, Project Management, AutoCAD, Design",4,96679,Blida,Engineering,Engineering,No Formal Education,10013
"Masonry, Safety Procedures, Plumbing, Carpentry, Blueprint Reading",10,149678,Constantine,Construction,Construction,Master's,10014
"Legal Research, Regulatory Compliance, Case Management, Contracts, Litigation",1,74634,Blida,Legal,Legal,Ingénieur,10015
"Blueprint Reading, Safety Procedures, Plumbing, Carpentry, Site Management",1,130280,Tipaza,Construction,Construction,No Formal Education,10016
"Soil Testing, Pest Control, Irrigation, Crop Management",7,127179,Ouargla,Agriculture,Agriculture,Ingénieur,10017
"Statistics, Machine Learning, SQL, Python, TensorFlow, Pandas",1,100185,Annaba,Data Science,Information Technology,High School,10018
"E-Learning, Classroom Management, Mentoring, Curriculum Design",1,154543,Sidi Bel Abbès,Education,Education,High School,10019
"Graphic Design, Creativity, 3D Modeling",4,144423,Chlef,Art & Design,Creative,Bachelor's,10020
"Agro-tech, Soil Testing, Tractor Operation, Pest Control, Irrigation",9,98888,Tipaza,Agriculture,Agriculture,High School,10021
"Windows Server, Security, Virtualization, Scripting, Linux, Networking",1,44189,Tlemcen,System Administration,Information Technology,High School,10022
"Networking, Windows Server, Scripting",4,129642,Bejaia,System Administration,Information Technology,Master's,10023
"Network Security, Ethical Hacking, Penetration Testing, Firewalls, SIEM, Forensics",11,115193,Annaba,Cybersecurity,Information Technology,Technical Diploma,10024
"Penetration Testing, Forensics, SIEM",6,69218,Ouargla,Cybersecurity,Information Technology,High School,10025
