job title,hiring organization,date posted,valid through,sector,job location,experience required,education requirement,type of contract,available posts,url,education_years,description,experience_min,experience_max,predicted_salary_dzd,inferred_skills
Cybersecurity Specialist (Red Team),Eurl AC NIELSEN AMER ALGERIA,2025-02-03T17:21:01.535Z,2025-04-04T23:59:59.000Z,"Informatique, Télécom, Internet","Hydra, Daïra Bir Mourad Rais, Alger, Algérie",3 À 5 Ans,Baccalauréat,CDI,1 poste ouvert,https://emploitic.com/entreprises/big-data-solutions/offres-d-emploi/informatique-telecom-internet/cybersecurity-specialist-red-team-2440c553ae1865a88b93bea6,12.0,"<strong style=""font-size: 1rem;"">Company Description</strong> Data Impact by NIQ is an e-commerce analytics provider. Our customizable, intuitive platform offers the most accurate and reliable digital shelf data available. The creator of industry standard location-based data analytics, we continually develop new solutions for our clients. <span style=""font-size: 1rem;"">Our Marketplace Sales &amp; Share suite empowers brands to maximize their sales potential while our pricing, visibility, content, distribution and e-media modules equip brands with cutting-edge solutions.</span> NIQ, the world's leading consumer intelligence company, is an Advent International portfolio company with operations in 100+ markets, covering more than 90% of the world's population. For more information, visit <a href=""http://niq.com/dataimpact"">NIQ.com/dataimpact</a>. <strong style=""font-size: 1rem;"">Job Description</strong> <strong style=""font-size: 1rem;"">Cybersecurity Specialist (Offensive Security, Red Team, Python)</strong> <strong>With us, you can look forward to :</strong><ul> <li>Working in a dynamic start-up atmosphere with a team that is both young and experienced.</li> <li>Developing your career in a diverse and international environment.</li> <li>Enjoying a friendly, relaxed work atmosphere that fosters autonomy, trust, and challenges.</li> </ul> <strong style=""font-size: 1rem;"">The role :</strong> As a vital part of our Security Team, you will work closely with our Scraping Team to address anti-bot countermeasures implemented by retailers or third parties. Your tasks will span across : <strong style=""font-size: 1rem;"">Qualifications</strong> <strong>Key competencies include :</strong><ul> <li>Advanced proficiency in C++ and Python.</li> <li>Instrumenting Android applications.</li> <li>Familiarity with Web Application Firewalls (WAF) and client-side web security.</li> <li>Deep understanding of networking, particularly STACK, HTTP/HTTPS/TLS.</li> <li>Ability to think outside the box and approach problems creatively.</li> <li>Significant experience in hacking/security.</li> <li>Competence in Javascript (5/10 is enough to understand client-side security)</li> <li>Code source de-obfuscation skills.</li> <li>General knowledge about browsers and web drivers.</li> <li>Proficiency in Linux.</li> </ul> <strong style=""font-size: 1rem;"">Preferred tools of the trade :</strong><ul> <li>Burpsuite for intercepting mobile or web traffic (or any HTTP proxy such as mitmproxy or Wireshark)</li> <li>Frida for bypassing mobile network security or spoofing location</li> <li>Postman for API communication</li> </ul> <strong style=""font-size: 1rem;"">Capture the Flag (CTF) Experience:</strong> Having participated in CTF security events is a plus for us. If you've ever joined this thrilling race against the clock, your skills in identifying vulnerabilities, devising solutions, and working as part of a team would make you an invaluable asset to our team. <span style=""font-size: 1rem;"">Data Impact by NielsenIQ is not just a place to work – it's a place where your work will be making a substantial difference. We offer real opportunities to grow and challenges to overcome, which makes every day an achievement. Join us, bring your expertise, and let's revolutionize the e-commerce industry together !</span> <strong style=""font-size: 1rem;"">Additional Information</strong> <strong>Location : Hydra, Algiers</strong> <span style=""font-size: 1rem;"">#LI-Hybrid</span> <strong>Our Benefits</strong><ul> <li>Flexible working environment</li> <li>Volunteer time off</li> <li>LinkedIn Learning</li> <li>Employee-Assistance-Program (EAP)</li> </ul> <strong style=""font-size: 1rem;"">About NIQ</strong> NIQ is the world's leading consumer intelligence company, delivering the most complete understanding of consumer buying behavior and revealing new pathways to growth. In 2023, NIQ combined with GfK, bringing together the two industry leaders with unparalleled global reach. With a holistic retail read and the most comprehensive consumer insights—delivered with advanced analytics through state-of-the-art platforms—NIQ delivers the Full View™. NIQ is an Advent International portfolio company with operations in 100+ markets, covering more than 90% of the world's population. <span style=""font-size: 1rem;"">For more information, visit NIQ.com</span> <span style=""font-size: 1rem;"">Want to keep up with our latest updates?</span> <span style=""font-size: 1rem;"">Follow us on: </span><a href=""https://www.linkedin.com/company/nielseniq/mycompany/"" style=""background-color: rgb(255, 255, 255); font-size: 1rem;"">LinkedIn</a><span style=""font-size: 1rem;""> | </span><a href=""https://www.instagram.com/nielseniq/"" style=""background-color: rgb(255, 255, 255); font-size: 1rem;"">Instagram</a><span style=""font-size: 1rem;""> | </span><a href=""https://twitter.com/nielseniq"" style=""background-color: rgb(255, 255, 255); font-size: 1rem;"">Twitter</a><span style=""font-size: 1rem;""> | </span><a href=""https://www.facebook.com/NielsenIQ.global/"" style=""background-color: rgb(255, 255, 255); font-size: 1rem;"">Facebook</a> <strong style=""font-size: 1rem;"">Our commitment to Diversity, Equity, and Inclusion</strong> <span style=""font-size: 1rem;"">NIQ is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. We exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. We enthusiastically invite candidates who share that mission to join us. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Our global non-discrimination policy covers these protected classes in every market in which we do business worldwide. Learn more about how we are driving diversity and inclusion in everything we do by visiting the NIQ News Center: </span><a href=""https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fnielseniq.com%2Fglobal%2Fen%2Fnews-center%2Fdiversity-inclusion&amp;data=05%7C02%7CJenny.Rebecca%40nielseniq.com%7C6e534cbe3eb041842d5f08dc6dca121e%7C6ac7a1f45fb14153bb4f12d2020a1f7d%7C0%7C0%7C638505961881417602%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&amp;sdata=B%2Fp40oNUpJOw1CNoc87EFXk%2BvxeO1jxYOSRCEKM%2Fz5Q%3D&amp;reserved=0"" style=""background-color: rgb(255, 255, 255); font-size: 1rem;"">https://nielseniq.com/global/en/news-center/diversity-inclusion</a> <strong style=""font-size: 1rem;"">Click here for the application form!</strong> <a href=""https://easyapply.jobs/r/Pp7bUkP23yDMyP3ShcvI"" style=""background-color: rgb(255, 255, 255); font-size: 1rem;""><strong>https://easyapply.jobs/r/Pp7bUkP23yDMyP3ShcvI</strong></a> <br />",3,5,58500,"communication, cybersecurity, javascript, linux, networking, python, sales"
Responsable Sécurité Système d’Information,Hamoud Boualem,2025-02-03T16:05:53.392Z,2025-03-16T23:59:59.000Z,Industries,"Alger, Algérie",6 À 10 Ans,"Master 2, Ingéniorat, Bac + 5",CDI,1 poste ouvert,https://emploitic.com/entreprises/hamoud-boualem/offres-d-emploi/industries/responsable-securite-systeme-d-information-a6c6e408c84890b3e3d0d716,17.0,"Missions du poste: <li>mettre en œuvre la stratégie de sécurité des systèmes d'information en conformité avec les exigences réglementaires et les standards internationaux (ISO 27001, RGPD, etc.).</li><li>Identifier et évaluer les risques liés à la sécurité des systèmes d'information et proposer des solutions adaptées pour les minimiser.</li><li>Piloter les projets de sécurisation des infrastructures IT (réseaux, serveurs, applications, etc.).</li><li>Mettre en place et superviser les outils de protection, de détection et de réponse aux incidents (firewalls, SIEM, antivirus, etc.).</li><li>Assurer la gestion des incidents de sécurité en coordination avec les équipes internes et, si nécessaire, des partenaires externes.</li><li>Sensibiliser et former les utilisateurs internes aux bonnes pratiques en matière de cybersécurité.</li><li>Réaliser des audits réguliers pour évaluer l'efficacité des mesures de sécurité en place et identifier les axes d'amélioration.</li><li>Assurer une veille technologique et réglementaire pour anticiper les nouvelles menaces et opportunités.<br /><br /></li> Profil recherché <ul type=""disc""> <li> Diplôme d'ingénieur ou master en cybersécurité, informatique </li> <li><span style=""font-size: 1rem;"">Expérience significative (5 ans minimum) en gestion de la sécurité des systèmes d'information, idéalement dans un environnement industriel.</span></li><li><span style=""font-size: 1rem;"">Maîtrise des outils et technologies de cybersécurité (firewalls, solutions EDR, systèmes de chiffrement, etc.).</span></li><li><span style=""font-size: 1rem;"">Bonne connaissance des normes et standards de sécurité (ISO 27001, NIST, PCI-DSS).</span></li><li><span style=""font-size: 1rem;"">Capacité à analyser des situations complexes et à proposer des solutions pragmatiques.</span></li></ul>",6,10,73000,
Assistant(e) de direction achat,mical,2025-02-03T15:59:24.724Z,2025-04-04T15:59:24.666Z,Industries,"Bordj El Kiffan, Daïra Dar El Beïda, Alger, Algérie",3 À 5 Ans,"Master 2, Ingéniorat, Bac + 5 | TS Bac +2 | Baccalauréat | Niveau Terminal",CDI,1 poste ouvert,https://emploitic.com/entreprises/mical/offres-d-emploi/industries/assistante-de-direction-achat-8868dc093e3be971ac8f9085,17.0,"Nous recherchons un(e) assistant(e) de direction motivée maîtrisant l'anglais pour rejoindre notre équipe dynamique à Bordj El Kiffan. la candidate idéale doit posséder une expérience pertinente dans le domaine et résider à proximité de Bordj El Kiffan. <strong>Profil Recherché :</strong><ul><li> Maîtrise de l'anglais.</li><li> Expérience souhaitée dans un poste similaire.</li><li> Excellentes compétences en communication et en organisation.</li><li> Résider à proximité de Bordj El Kiffan.</li><li> Capacité à travailler de manière autonome et en équipe.</li></ul> <strong>Candidature :</strong> Si vous êtes intéressée par cette opportunité, veuillez envoyer votre CV Nous étudierons chaque candidature avec attention et nous vous remercions de l'intérêt que vous portez .",3,5,68500,communication
Analyste SAP MM,Groupe  CEVITAL,2025-02-03T15:51:48.361Z,2025-04-04T23:59:59.000Z,Industries,"Alger, Algérie",1 À 2 Ans | 3 À 5 Ans,"Master 2, Ingéniorat, Bac + 5",CDI,1 poste ouvert,https://emploitic.com/entreprises/groupe-cevital/offres-d-emploi/industries/analyste-sap-mm-sd-125d3bc51be96321e4f72222,17.0,"Missions principales : Support et Maintenance<ul><li> Assurer le support fonctionnel et technique pour les modules SAP MM.</li><li><span style=""font-size: 1rem;"">Résoudre les incidents et problèmes rencontrés par les utilisateurs.</span></li><li><span style=""font-size: 1rem;"">Effectuer des corrections et des ajustements pour optimiser les processus.</span></li></ul> <span style=""font-size: 1rem;"">Analyse et Conception</span><ul><li><span style=""font-size: 1rem;"">Analyser les besoins métier et traduire ces besoins en solutions techniques dans SAP MM.</span></li><li><span style=""font-size: 1rem;"">Participer à la conception et à la configuration des processus MM (gestion des achats, gestion des stocks, facturation, etc.).</span></li><li><span style=""font-size: 1rem;"">Collaborer avec les équipes métier pour comprendre leurs exigences et proposer des solutions adaptées.</span></li></ul> <span style=""font-size: 1rem;"">Développement et Intégration</span><ul><li><span style=""font-size: 1rem;"">Configurer et personnaliser les modules SAP MM en fonction des besoins de l'entreprise.</span></li><li><span style=""font-size: 1rem;"">Participer à l'intégration de SAP MM avec d'autres modules SAP (comme SD, PP, FI/CO) ou des systèmes externes.</span></li><li><span style=""font-size: 1rem;"">Développer des rapports et des interfaces pour répondre aux besoins des utilisateurs.</span></li></ul> <span style=""font-size: 1rem;"">Tests et Validation</span><ul><li><span style=""font-size: 1rem;"">Planifier et exécuter des tests unitaires, d'intégration et de performance.</span></li><li><span style=""font-size: 1rem;"">Valider les configurations et les développements avec les utilisateurs clés.</span></li><li><span style=""font-size: 1rem;"">Documenter les résultats des tests et les procédures de validation.</span></li></ul> <span style=""font-size: 1rem;"">Formation et Accompagnement</span><ul><li><span style=""font-size: 1rem;"">Former les utilisateurs finaux sur les fonctionnalités SAP MM.</span></li><li><span style=""font-size: 1rem;"">Créer des supports de formation et des guides utilisateurs.</span></li><li><span style=""font-size: 1rem;"">Accompagner les utilisateurs dans l'adoption des nouveaux processus et outils.</span></li></ul> <span style=""font-size: 1rem;"">Amélioration Continue</span><ul><li><span style=""font-size: 1rem;"">Identifier les opportunités d'amélioration des processus existants.</span></li><li><span style=""font-size: 1rem;"">Proposer et mettre en œuvre des optimisations pour augmenter l'efficacité opérationnelle.</span></li><li><span style=""font-size: 1rem;"">Participer à des projets d'évolution ou de migration vers SAP S/4HANA.</span></li></ul> <span style=""font-size: 1rem;"">Gestion de Projets</span><ul><li><span style=""font-size: 1rem;"">Participer à des projets d'envergure, notamment des mises à jour, des migrations ou des implémentations de nouvelles fonctionnalités.</span></li><li><span style=""font-size: 1rem;"">Collaborer avec les chefs de projet pour respecter les délais et les budgets.</span></li><li><span style=""font-size: 1rem;"">Documenter les spécifications techniques et fonctionnelles.</span></li></ul> <span style=""font-size: 1rem;"">Veille Technologique</span><ul><li><span style=""font-size: 1rem;"">Se tenir informé des dernières évolutions de SAP MM et S/4HANA.</span></li><li><span style=""font-size: 1rem;"">Proposer des innovations technologiques pour améliorer les processus métier.</span></li></ul> <span style=""font-size: 1rem;"">Profil recherché :</span><ul><li><span style=""font-size: 1rem;"">Universitaire de niveau Bac+5 dans le domaine informatique ou industrie.</span></li><li><span style=""font-size: 1rem;"">Expérience de 02 ans dans la configuration et l'utilisation de SAP MM.</span></li><li><span style=""font-size: 1rem;"">Bonne connaissance des processus métier liés à la gestion des achats et des stocks.</span></li><li><span style=""font-size: 1rem;"">Excellentes compétences en intégration avec d'autres modules SAP (SD, PP, FI/CO).</span></li><li><span style=""font-size: 1rem;"">Capacité à travailler en équipe et à communiquer efficacement avec les utilisateurs métier.</span></li><li><span style=""font-size: 1rem;"">Maîtrise des outils de gestion de projet et de documentation.</span></li></ul> <br /> <br /> <br />",1,5,65500,sap
Commercial,Compte démo Talenteo,2025-02-03T15:49:43.406Z,2025-02-20T23:59:59.000Z,Services,"Abidjan, Côte d'ivoire",Moins D’un An | 1 À 2 Ans | 3 À 5 Ans,"Licence (LMD), Bac + 3",CDI | CDD Ou Mission | Stage – Temps Partiel,10 postes ouverts,https://emploitic.com/entreprises/compte-demo-talenteo/offres-d-emploi/services/commercial-9f78610b58f4ecdb50d0629f,15.0,Mission <ul><li>Prospection</li><li>suivi dossier client </li></ul> Profil recherché :<ul><li>Universitaire </li><li>Diplôme en commerce international </li></ul>,0,5,60000,
SENIOR GEOPHYSICIST ,Realtimeseismic,2025-02-03T15:43:42.376Z,2025-04-04T15:43:42.310Z,Services,"Boumerdès, Algérie",6 À 10 Ans,"Master 2, Ingéniorat, Bac + 5 | Magistère Bac + 7 | Doctorat",CDI,1 poste ouvert,https://emploitic.com/entreprises/realtimeseismic/offres-d-emploi/services/senior-geophysicist-4ac513208ab2cc5abcb80b47,21.0,"Join a team of experts in seismic data processing and become a Geophysicist ! Realtimeseismic, a specialist in geophysical services on a global scale, is looking for a Senior Geophysicist to join its team based in Boumerdes. • Participate in global projects • Contribute to innovation in a dynamic and stimulating work environment • Evolve and collaborate with specialist and passionate teams YOUR MISSION As a Senior Geophysicist, you will leverage your knowledge of the principles and techniques of geophysics as well as your experience in project management. You will be in charge of the management and production of seismic processing projects. Your missions will consist of: • Manage a processing project (technical coordination of the project team, validation of sequences, QC of deliverables, reporting to the operations manager). • Ensure the internal technical review of processing projects (peer reviews). • Contribute to the mentoring and training of junior geophysicists. • Identify R&amp;D avenues in collaboration with RTS developers. • Process seismic data for different applications (processing and imaging). • Write technical reports and presentations • Contribute to the improvement of our quality standards and processes • Liaise with customers and other stakeholders Depending on the needs of the service, these missions may evolve. YOUR PROFILE • Master's or PhD in Geophysics • Significant experience in processing and survey design • Solid knowledge of geophysics software (GeoTrust, Reveal, etc.) • Professional English • Project management experience • Ability to work independently and as part of a team • Analytical and attention to detail If you find yourself in this job offer and you want to join RTS, we invite you to apply! We can't wait to share the RTS adventure with you !",6,10,81000,management
Business Analyst,Upc Union pharmaceutique constantinoise Spa,2025-02-03T15:37:42.942Z,2025-04-04T23:59:59.000Z,Industries,"Constantine, Algérie | Alger, Algérie",3 À 5 Ans,"Master 1, Licence  Bac + 4",CDI | CDD Ou Mission,1 poste ouvert,https://emploitic.com/entreprises/upc-union-pharmaceutique-constantinoise-spa/offres-d-emploi/industries/business-analyst-0c2802f13990a87745aee53b,16.0,"<br /> L'Union Pharmaceutique Constantinoise par abréviation UPC, importante société par actions (SPA), activant dans le domaine de l'industrie pharmaceutique, recrute pour son site industriel de Constantine :&nbsp; Direction Générale : Constantine / Alger<p align=""center"">Business Analyst MISSION PRINCIPALE DE L'EMPLOI: - valorise l'ensemble des données de l'entreprise pour faciliter la prise de décision. Il/elle utilise notamment les données recueillies en masse (big data) pour réaliser les nombreux tableaux de bord nécessaires à différents services de l'entreprise (marketing, relations clients, production…). Il/elle est également en charge de construire des modèles statistiques pour éclairer les services opérationnels (segmentations clients ou analyses prédictives). RESPONSABLE DE : Exploite les données, pilote des projets permettant de résoudre un problème ou répondant à un besoin de transformation ou de réingénierie.<br /> ACTIVITES PRINCIPALES : Extraction et structuration des données ; Analyse et exploration des données ; Communication avec les équipes clientes ; Veille technologique sur les outils d'analyse de données; <br />Reporting PROFIL RECHERCHE &nbsp;&nbsp;Licence ou Master ou Licence en statistiques et traitement de l'information / IT spécialiste ou Marketing ; Expérience : 03 ans d'expérience en analyse de donnée, idéalement dans le secteur pharmaceutique. COMPETENCES REQUISES Expertise en base de données et gestion de base de données (SQL/NoSQL)&nbsp;; Maîtrise des tests et méthodes statistiques (segmentation, régression, …)&nbsp;; Maîtrise des langages de programmation (Python, R, C++…)&nbsp;; Maîtrise d'un outil de data visualisation (Tableau, PowerBI)&nbsp;; Maîtrise des outils de fouille et analyse de données&nbsp;; &nbsp;Connaissance de l'environnement et du domaine pharmaceutique&nbsp;; Rigueur&nbsp;; Sens de l'écoute et de la communication&nbsp;; Esprit de synthèse et d'analyse&nbsp;; <br /><ul> </ul>",3,5,66500,"communication, marketing, python, sql"
Community Manager,ILYINE PARIS,2025-02-03T15:36:18.427Z,2025-04-04T15:36:18.382Z,"Distribution, Commerce","Alger, Algérie",1 À 2 Ans,TS Bac +2,CDI,1 poste ouvert,https://emploitic.com/entreprises/ilyine-paris/offres-d-emploi/distribution-commerce/community-manager-1a790d0453bcc8fb142acb68,14.0,"Ilyine Paris Recrute un Community Manager Freelance (Télétravail - Algérie) Lieu : Télétravail depuis l'Algérie Statut : Freelance exclusif Horaires : Lundi au jeudi : 08h00-12h00 et 13h00-17h00 Vendredi : 14h00-18h00 (horaires négociables) Ta mission : Faire rayonner Ilyine Paris sur les réseaux sociaux ! Nous recherchons un(e) Community Manager Freelance motivé(e), créatif(ve) et passionné(e) par l'univers des cosmétiques capillaires pour travailler exclusivement avec nous et s'investir pleinement dans notre projet. Tes missions principales : <ul><li> Créer et animer du contenu sur Instagram, TikTok, Facebook et WhatsApp</li><li> Développer et engager notre communauté en interagissant avec nos abonnés</li><li> Rédiger des publications attractives et percutantes adaptées à notre audience</li><li> Gérer les messages et les commentaires pour renforcer la proximité avec notre communauté</li><li> Élaborer un calendrier éditorial stratégique en accord avec notre image de marque</li><li> Suivre et analyser les performances des publications pour optimiser l'impact</li><li> Créer et optimiser des tunnels de vente pour attirer, convertir et fidéliser les clients</li></ul> Profil recherché : <ul><li> Exclusivement dédié(e) à Ilyine Paris (pas de collaboration avec d'autres marques)</li><li> Créatif(ve), dynamique et toujours au courant des tendances</li><li> Aisance rédactionnelle et excellente orthographe</li><li> Bonne compréhension des algorithmes, tunnels de vente et stratégies de conversion</li><li> Maîtrise de Canva, Photoshop, CapCut ou autres outils de création de contenu</li><li> Bonne communication et sens du relationnel pour gérer la communauté</li><li> Équipement requis : Un ordinateur performant et une connexion internet stable et rapide</li></ul> Ce que nous t'offrons : <ul><li> Un rôle clé dans le développement digital d'une marque en pleine croissance</li><li> Un travail flexible en télétravail avec des horaires négociables</li><li> Une opportunité d'apprentissage et d'évolution dans un secteur dynamique</li><li> L'opportunité de construire et gérer des tunnels de vente performants</li></ul> Ton expérience en Community Management Pourquoi tu veux travailler avec Ilyine Paris Ton meilleur projet digital ou tunnel de vente que tu as créé Date limite de candidature : Vendredi prochain !",1,2,59500,"communication, management"
Chargé(e) de Support IT,JAB COMPANY,2025-02-03T15:34:40.418Z,2025-04-04T23:59:59.000Z,Industries,"Aïn Benian, Daïra Cheraga, Alger, Algérie",3 À 5 Ans,"Master 2, Ingéniorat, Bac + 5",CDI,1 poste ouvert,https://emploitic.com/entreprises/jab-company/offres-d-emploi/industries/charge-e-de-support-it-554b67aaae75c0a98120a19a,17.0,"<strong>Jab Company</strong>, leader de la grande distribution de produits chimiques, partenaire des grandes et petites industries, notamment dans les secteurs de l'agroalimentaire, du pharmaceutique, du traitement de l'eau, de la pétrochimie, ainsi que de la chimie industrielle, recrute un(e) <strong>Chargé(e) de Support IT</strong>. Si vous êtes prêt(e) à relever de nouveaux défis pour une évolution de carrière, vous serez amené(e) à :<ul><li>Assurer le support technique aux utilisateurs (sur site et à distance).</li><li>Assister les utilisateurs dans l'utilisation des systèmes d'information (applications métiers, ordinateurs, périphériques, etc.).</li><li>Gérer et maintenir les équipements informatiques (ordinateurs, imprimantes, réseaux).</li><li>Identifier, diagnostiquer et résoudre les incidents techniques (hardware, software, réseau).</li><li>Communiquer régulièrement avec les utilisateurs pour les tenir informés de l'avancement des résolutions.</li><li>Collaborer avec les équipes internes pour optimiser les processus et améliorer le temps de réponse aux incidents.</li></ul> <strong>Profil recherché</strong> :<ul><li>Niveau d'études : Bac+3 à Bac+5, spécialité Informatique.</li><li>Expérience de 3 ans minimum dans un poste similaire.</li><li>Disponible et engagé(e).</li></ul> <strong>Compétences techniques</strong> :<ul><li>Bonne maîtrise des environnements Windows (Windows 10, 11) et des outils bureautiques (Microsoft Office, Teams).</li><li>Capacité avérée à diagnostiquer et résoudre des problèmes matériels et logiciels.</li><li>Expérience en administration de réseaux (TCP/IP, LAN/WAN, Wi-Fi).</li><li>Maîtrise des technologies Windows Server (AD, GPO, DNS, IIS, DHCP, etc.).</li><li>Connaissances en firewall (configuration de base, routage, VPN SSL, filtrage web, etc.).</li><li>Connaissances en virtualisation.</li></ul> <strong>Compétences transverses</strong> :<ul><li>Langues : Français / Anglais.</li><li>Gestion de projet (méthodologie et outils).</li></ul> <strong>Compétences clés</strong> :<ul><li>Sens de l'initiative et esprit entrepreneurial.</li><li>Sens des responsabilités et fiabilité.</li><li>Capacité à s'organiser et à prioriser les tâches.</li></ul> Rejoignez JABCOMPANY et participez à notre succès ! <br />",3,5,68500,
Expert environnemental et social,Société Générale Algérie,2025-02-03T15:32:06.191Z,2025-04-04T23:59:59.000Z,"Banque, Assurance, Finance","Alger, Algérie",3 À 5 Ans,"Master 2, Ingéniorat, Bac + 5",CDI,1 poste ouvert,https://emploitic.com/entreprises/societe-generale-algerie/offres-d-emploi/banque-assurance-finance/expert-environnemental-et-social-01e8a94a682cf195a2c8411d,17.0,"<h3 class=""spaced"" style=""color: #333;""> </h3> <h3 class=""spaced"" style=""color: #333;"">Missions du poste</h3> <ul> <li><span style=""font-size: 12.16px;"">Assister et conseiller les équipes Front Office dans la phase d'identification des risques E&S,</span></li> <li><span style=""font-size: 12.16px;"">Réaliser les évaluations détaillées et définir les éventuels plans d'actions pour les clients et/ou les transactions identifiés comme porteurs de risques E&S au regard des principes et engagements pris par le Groupe,</span></li> <li><span style=""font-size: 12.16px;"">Accompagner, former et faire monter en compétences les équipes Front Office, RISQ et CPLE impliquées et sensibiliser sur les enjeux et engagements E&S du Groupe,</span></li> <li><span style=""font-size: 12.16px;"">Suivre le bon déploiement et la bonne application du dispositif d'évaluations des risques E&S, en lien avec CPLE et RISQ, et en coordination avec les équipes RSE de la BU et les équipes RSE du Groupe (SEGL/RSE).</span></li> <li>L'Expert est en charge de la formation et de la montée en compétences des populations impliquées dans le processus d'évaluation E&S : équipes Front Office, équipes Back-Office, équipes Risques, équipes Conformité, nouveaux arrivants de son périmètre régional d'intervention.</li> <li>L'Expert E&S est en charge de relayer, diffuser et communiquer les changements du cadre normatif et des engagements du Groupe Société Générale.</li> <li>L'Expert E&S assurera la veille réglementaire sur son périmètre d'intervention</li> <li>L'Expert E&S a un rôle de sécurisation et de contrôle, il doit d'assurer du bon déroulement et de la progressive exhaustivité des évaluations E&S réalisées (critères d'application versus de priorisation). Il contrôle la qualité de ces évaluations par échantillonnage et assure un reporting via un tableau de bord de suivi des évaluations E&S partagé de manière régulière avec le siège.</li> <li>L'Expert E&S contribue au développement de la connaissance ESG (Environnemental, Social et de Gouvernance) des équipes SG ou des clients ; il peut également être amené à représenter son organisation dans des réunions ou événements sur ces questions E&S,</li> <li>L'Expert E&S est force de proposition et contributeur dans les projets d'amélioration de l'efficacité, d'outillage ou de digitalisation du processus d'évaluation E&S.</li> </ul> <h3 class=""spaced"" style=""color: #333;"">Profil recherché</h3> <ul> <li>BAC +4/5 Diplômé(e) d'une formation universitaire type environnement, développement durable, sciences sociales ou ingénierie</li> <li> Expérience : 5-10 ans d'expérience professionnelle en gestion des risques, conformité, audit ou ingénierie ou expérience dans le domaine de la gestion de projets avec une bonne connaissance des processus et systèmes de la banque, Ayant occupé une fonction commerciale dans une institution financière, de préférence en lien avec une clientèle Corporate, Ayant été confronté aux problématiques RSE ou de notation extra-financière. </li> <li> Connaissance de l'activité de financement des entreprises </li> <li><span style=""font-size: 12.16px;"">Connaissance des enjeux et impacts environnementaux et sociaux sur certains secteurs clés en Afrique (énergie, agriculture, agro-alimentaire, forêts, etc.)</span></li> <li><span style=""font-size: 12.16px;"">La connaissance des normes et standards internationaux en matière environnementale, sociale, de santé et de sécurité (Banque Mondiale, ONU, SFI, conventions internationales, autres bailleurs de fonds) est un plus</span></li> <li><span style=""font-size: 12.16px;"">Bonne maîtrise du Pack Office (Word, Excel, Power Point) et une forte compétence digitale</span></li> <li><span style=""font-size: 12.16px;"">Une bonne maîtrise de l'anglais et du français, oral et écrit, est indispensable</span></li> <li><span style=""font-size: 12.16px;"">Solide capacité d'analyse, de synthèse, de vision stratégique</span></li> <li><span style=""font-size: 12.16px;"">Capacité d'agrégation d'informations de sources multiples, capacité à gérer plusieurs tâches ou projets en parallèle,</span></li> <li><span style=""font-size: 12.16px;"">Qualités d'écoute, de communication et d'animation</span></li> <li><span style=""font-size: 12.16px;"">Qualités rédactionnelles,</span></li> <li><span style=""font-size: 12.16px;"">Bonne communication orale et écrite, argumentée de manière claire, factuelle et précise</span></li> <li><span style=""font-size: 12.16px;"">Rigueur</span></li> <li><span style=""font-size: 12.16px;"">Dynamisme</span></li> <li><span style=""font-size: 12.16px;"">Aptitudes de coordination, bon relationnel, tiers de confiance</span></li> </ul> <h3 class=""spaced"" style=""color: #333;""> </h3>",3,5,68500,"communication, excel, word"
