skills,experience,salary,location,job_interest,sector,education_level,job_id,Approximate Years of Education,education_years,job_type
"Analytics, Copywriting, Social Media",4,65827,Ghardaia,Marketing,Business,Master's,10000,17.0,17,Full-time
"Negotiation, Sales Forecasting, Customer Service, Lead Generation",4,112241,Chlef,Sales,Business,Bachelor's,10001,12.0,15,Full-time
"Copywriting, Analytics, Social Media, Google Ads",4,66627,Sidi Bel Abbès,Marketing,Business,Doctorate,10002,20.0,20,Full-time
"Git, JavaScript, SQL, C++",1,54462,Tlemcen,Software Engineering,Information Technology,High School,10003,9.0,12,Full-time
"Networking, Security, Scripting, Linux, Windows Server",6,121115,Relizane,System Administration,Information Technology,Ingénieur,10004,17.0,17,Full-time
"Regulatory Compliance, Litigation, Legal Research",3,97794,Batna,Legal,Legal,No Formal Education,10005,0.0,0,Full-time
"Blueprint Reading, Safety Procedures, Masonry, Plumbing, Site Management, Carpentry",8,131492,Chlef,Construction,Construction,Doctorate,10006,20.0,20,Full-time
"Cold Calling, Customer Service, Negotiation, Sales Forecasting, CRM, Lead Generation",14,41818,Oran,Sales,Business,Ingénieur,10007,17.0,17,Full-time
"Social Media, Content Creation, Copywriting",5,108422,Skikda,Marketing,Business,High School,10008,9.0,12,Full-time
"Social Media, SEO, Analytics, Google Ads",6,81777,Blida,Marketing,Business,Master's,10009,17.0,17,Full-time
"3D Modeling, UI/UX, Photoshop",2,98636,Relizane,Art & Design,Creative,Bachelor's,10010,12.0,15,Full-time
"Assessment, Curriculum Design, Teaching, E-Learning, Mentoring, Classroom Management",7,107518,Sidi Bel Abbès,Education,Education,Technical Diploma,10011,,14,Full-time
"Carpentry, Plumbing, Blueprint Reading, Masonry, Site Management",4,88643,M'Sila,Construction,Construction,Bachelor's,10012,12.0,15,Full-time
"MATLAB, SolidWorks, Project Management, AutoCAD, Design",4,96679,Blida,Engineering,Engineering,No Formal Education,10013,0.0,0,Full-time
