employee_id,age,gender,job_title,department,experience_years,current_salary_dzd,skills,sector
EMPFPUODZ,28,Male,Chef de produit,Compliance,2,68756,"UX/UI, Python, DevOps, Docker",Logistique
EMPB2BWP1,41,Female,Assistante de Direction,Data,6,65018,"Customer Service, Scheduling, Data Entry, Document Control",Informatique
EMPCW30SU,60,Female,Chargé Marketing Promo,Investor,4,66838,"Brand Management, Social Media, Content Strategy, Google Analytics",Ventes
EMPKXDSKC,40,Female,Technico-commerciale ( Ingénieur en électronique ),Management,0,57242,"Adaptability, Time Management, Teamwork, Communication, Problem Solving",Admin
EMP7MRTCA,31,Female,Ingénieur Qualité,Training,7,80856,"Java, SQL, Kubernetes",Informatique
EMPFF2SEA,59,Female,Ingénieur bid engineering /Process safety,Administration,1,71146,"Docker, Cloud Computing, UX/UI, C++, Python",Finance
EMPKVFC6Q,45,Female,AGENT COMMERCIAL,IT,0,62303,"Problem Solving, Communication, Teamwork, Adaptability",Admin
EMPNO0SYC,59,Male,Superviseur Médical,Investor,7,66683,"Time Management, Adaptability, Problem Solving, Communication",Marketing
EMPU8TZVD,38,Female,AGENT HSE,Corporate,4,55384,"Adaptability, Problem Solving, Time Management, Communication, Teamwork",Marketing
EMPCWSRUT,30,Female,RESPONSABLE IMPORT,Technical,1,63461,"Problem Solving, Time Management, Teamwork, Adaptability",Santé
EMPFQUV6E,32,Male,Auditeur Principal,Management,8,85294,"C++, Python, Java, SQL, Docker",Ingénierie
EMPBQX1MO,56,Female,Ingénieur Electricité études et suivi des projets,Procurement,9,91261,"Python, Kubernetes, Cloud Computing, SQL, Network Security, Docker",Ventes
EMPR8W5RB,44,Male,chargé de la Facturation et du Recouvrement,Support,6,75309,"Problem Solving, Teamwork, Communication, Time Management, Adaptability",Santé
EMPGEQEIT,57,Male,RESPONSABLE COMMERCIAL (LOGISTIC ),Affairs,5,70931,"Teamwork, Communication, Adaptability, Problem Solving, Time Management",Juridique
EMP7RSWRO,33,Male,Aide Pizzaiolo,Technical,5,63741,"Communication, Problem Solving, Teamwork, Adaptability",Juridique
EMPGEEIUY,49,Male,Portfolio Management Officer-(H/F)-Alger,Health,1,32844,"Office Management, Document Control, Scheduling, Customer Service, Data Entry",Informatique
EMPIBLNVQ,34,Female,Superviseur Commercial,Logistics,5,61783,"Time Management, Communication, Teamwork, Adaptability",Santé
EMPRG1TRG,55,Female,commercial,Science,4,74436,"Adaptability, Teamwork, Problem Solving",Admin
EMP3SIBAB,56,Female,Délégués Médico-Commerciaux - Alger-,Management,3,62845,"Color Theory, Typography, Sketch, Adobe Photoshop, Figma, UX Research",Ingénierie
EMP0HOSXB,52,Female,Brand Shop Supervisor,Product,4,40928,"Brand Management, Content Strategy, Google Analytics, Campaign Planning",RH
EMP7LF2U7,28,Male,Gestionnaire du parc informatique,Health,0,68793,"Adaptability, Problem Solving, Teamwork, Communication",Marketing
EMP565S4O,41,Male,Finance Project Manager,Training,7,32723,"Financial Analysis, Audit, Budgeting",Juridique
EMPXDAST0,29,Male,Chauffeur semi-remorque,Assurance,3,59536,"Communication, Problem Solving, Teamwork",Ingénierie
EMP637BYR,28,Female,Administrateur Applications et Base de données,Research,3,75916,"Cloud Computing, C++, Docker, Kubernetes",Logistique
EMP4KX7EU,26,Male,RESPONSABLE COMMERCIAL CONSTRUCTION/PROJET CHANTIER    (ZONE OUEST/SUD-OUEST DE L’ALGERIE),Health,1,74485,"Teamwork, Time Management, Communication",RH
EMPTRQKLM,49,Male,Responsable Contrôle de gestion,Business,6,81614,"Adaptability, Communication, Problem Solving, Time Management, Teamwork",RH
EMP0S1UDX,29,Female,Chef de Parc,Data,3,75812,"Teamwork, Communication, Problem Solving, Adaptability",RH
EMPDTQZXL,55,Male,Cadres Ressources Humaines,Customer,7,73937,"Time Management, Problem Solving, Communication, Teamwork, Adaptability",Finance
EMPSGBWZS,50,Female,Superviseur Commercial,Quality,1,64280,"Time Management, Teamwork, Adaptability, Communication, Problem Solving",Juridique
