employee_id,age,gender,job_title,department,experience_years,current_salary_dzd,skills
EMPFPUODZ,28,Male,Chef de produit,Health & Safety,2,68756,"Leadership, Problem Solving, Piloting"
EMPB2BWP1,41,Female,Assistante de Direction,Procurement,6,65018,"Communication, Teamwork, Communication"
EMPCW30SU,60,Female,Chargé Marketing Promo,Research & Development,4,66838,"Communication, Problem Solving, Culinary Arts, Woodworking"
EMPKXDSKC,40,Female,Technico-commerciale ( Ingénieur en électronique ),Research & Development,0,57242,"Teamwork, Time Management, Culinary Arts, Leadership"
EMP7MRTCA,31,Female,Ingénieur Qualité,Corporate Affairs,7,80856,"Leadership, Teamwork, Woodworking, Leadership"
EMPFF2SEA,59,Female,Ingénieur bid engineering /Process safety,Quality Control,1,71146,"Leadership, Communication, Photography, Culinary Arts, Leadership"
EMPKVFC6Q,45,Female,AGENT COMMERCIAL,Business Intelligence,0,62303,"Communication, Leadership, Beekeeping, Beekeeping"
EMPNO0SYC,59,Male,Superviseur Médical,Innovation,7,66683,"Leadership, Communication, Time Management, Photography"
EMPU8TZVD,38,Female,AGENT HSE,Procurement,4,55384,"Time Management, Problem Solving, Diving, Culinary Arts"
EMPCWSRUT,30,Female,RESPONSABLE IMPORT,Quality Control,1,63461,"Leadership, Communication, Piloting, Woodworking, Leadership"
EMPFQUV6E,32,Male,Auditeur Principal,Innovation,8,85294,"Teamwork, Problem Solving, Woodworking, Culinary Arts, Diving"
EMPBQX1MO,56,Female,Ingénieur Electricité études et suivi des projets,Research & Development,9,91261,"Leadership, Problem Solving, Diving"
EMPR8W5RB,44,Male,chargé de la Facturation et du Recouvrement,Health & Safety,6,75309,"Teamwork, Communication, Diving"
EMPGEQEIT,57,Male,RESPONSABLE COMMERCIAL (LOGISTIC ),Investor Relations,5,70931,"Time Management, Teamwork, Beekeeping, Problem Solving"
EMP7RSWRO,33,Male,Aide Pizzaiolo,Sustainability,5,63741,"Communication, Leadership, Time Management"
EMPGEEIUY,49,Male,Portfolio Management Officer-(H/F)-Alger,Innovation,1,32844,"Problem Solving, Teamwork, Piloting, Communication"
EMPIBLNVQ,34,Female,Superviseur Commercial,Investor Relations,5,61783,"Leadership, Communication, Dentistry, Photography, Woodworking"
EMPRG1TRG,55,Female,commercial,Quality Control,4,74436,"Time Management, Communication, Teamwork"
EMP3SIBAB,56,Female,Délégués Médico-Commerciaux - Alger-,Investor Relations,3,62845,"Leadership, Problem Solving, Problem Solving, Piloting"
EMP0HOSXB,52,Female,Brand Shop Supervisor,Business Intelligence,4,40928,"Leadership, Problem Solving, Time Management, Dentistry"
EMP7LF2U7,28,Male,Gestionnaire du parc informatique,Business Intelligence,0,68793,"Leadership, Communication, Culinary Arts, Piloting"
EMP565S4O,41,Male,Finance Project Manager,Health & Safety,7,32723,"Time Management, Communication, Culinary Arts, Communication, Diving"
EMPXDAST0,29,Male,Chauffeur semi-remorque,Investor Relations,3,59536,"Communication, Time Management, Beekeeping, Problem Solving"
EMP637BYR,28,Female,Administrateur Applications et Base de données,Public Relations,3,75916,"Time Management, Teamwork, Beekeeping"
EMP4KX7EU,26,Male,RESPONSABLE COMMERCIAL CONSTRUCTION/PROJET CHANTIER    (ZONE OUEST/SUD-OUEST DE L’ALGERIE),Quality Control,1,74485,"Leadership, Communication, Problem Solving"
EMPTRQKLM,49,Male,Responsable Contrôle de gestion,Quality Control,6,81614,"Problem Solving, Communication, Problem Solving, Leadership"
EMP0S1UDX,29,Female,Chef de Parc,Innovation,3,75812,"Time Management, Teamwork, Problem Solving, Dentistry"
EMPDTQZXL,55,Male,Cadres Ressources Humaines,Innovation,7,73937,"Leadership, Time Management, Teamwork, Communication"
EMPSGBWZS,50,Female,Superviseur Commercial,Corporate Affairs,1,64280,"Communication, Time Management, Dentistry"
EMP2ADMYN,38,Female,Ingénieur Electricité ( Suivi),Innovation,7,65195,"Communication, Time Management, Dentistry, Woodworking"
EMP7XERH5,47,Female,Responsable Business Développement,Sustainability,3,60367,"Problem Solving, Time Management, Time Management"
EMP80E3MS,41,Male,Développeur FULLSTACK Mobile,Innovation,7,82314,"Problem Solving, Leadership, Culinary Arts, Problem Solving"
EMP0UBWVR,39,Male,Night Auditor,Customer Experience,2,64930,"Teamwork, Time Management, Communication, Diving"
EMPH4J7SC,60,Female,Responsable Qualité Fournisseurs & Clients ( Qualité Supply Chain),Data Protection,6,96829,"Problem Solving, Time Management, Culinary Arts"
EMPKY8JCC,48,Female,Directeur Technico-Commercial – Secteur Électroménager,Procurement,1,71077,"Time Management, Communication, Teamwork"
EMP86ITJA,45,Male,Agent d'Accueil,Sustainability,6,64226,"Problem Solving, Leadership, Woodworking, Culinary Arts"
EMPK22PRZ,29,Male,assistant(e) medical,Procurement,1,58285,"Leadership, Communication, Photography, Communication"
EMP2S6HR3,34,Male,Agent De Nettoyage,Customer Experience,1,58901,"Leadership, Teamwork, Culinary Arts"
EMPDNCL9B,23,Female,Chargé des Opérations,Health & Safety,2,36873,"Leadership, Problem Solving, Photography, Beekeeping"
EMPTXRQJI,44,Male,ASSISTANTE CONTROLE DE GESTION,Corporate Affairs,1,63555,"Problem Solving, Time Management, Woodworking, Time Management"
EMPJI1N7H,29,Female,Commercial Immobilier,Research & Development,0,68090,"Time Management, Communication, Piloting"
EMPN065IW,56,Male,Chargé(e) des Opérations / chargé(e) Clientèle,Corporate Affairs,4,57817,"Teamwork, Communication, Dentistry, Teamwork"
EMPGCTOS0,58,Male,Comptable Principal,Business Intelligence,2,54098,"Teamwork, Problem Solving, Time Management"
EMPFLMAST,28,Male,Secrétaire Notarial,Business Intelligence,1,72134,"Time Management, Leadership, Communication"
EMPBUPI8T,39,Female,Technicien IT,Innovation,2,72567,"Time Management, Teamwork, Diving"
EMPGO20UX,60,Female,Technicien supérieur en maintenance véhicule léger,Business Intelligence,0,61405,"Time Management, Teamwork, Beekeeping, Communication, Leadership"
